ID,SubmissionDate,starttime,endtime,username,name_collector,date_collected,consent,location.Latitude,location.Longitude,location.Altitude,location.Accuracy,location_survey,kampala_live,education,year_studies,status,doing now,looking,unemployed_future,unemployed_reasons_1,unemployed_reasons_2,unemployed_reasons_3,unemployed_reasons_4,unemployed_reasons_5,unemployed_reasons_6,unemployed_reasons_7,unemployed_reasons_8,unemployed_reasons_9,unemployed_reasons_10,unemployed_reasons_11,unemployed_reasons_12,unemployed_reasons_13,unemployed_reasons_14,unemployed_reasons_15,activities,paid,enterprise,self,position,job_field,prefer,workers,satisfaction,desire_change,change_reason,likely,jobs,interviews,time_search,steps,steps2_1,steps2_2,steps2_3,steps2_4,steps2_5,steps2_6,steps2_7,steps2_8,steps2_9,steps2_10,steps2_11,steps2_12,steps2_13,steps2_14,positions_looking,jobs_applied,jobs_interviewed,refusals,refusal_reason,income,min_incomelevel,incomelevel,career_center,from_employer,friends_relateives,social_media,website,radio,newspapers,TV,word_of_mouth,other,challenges,obstacles_1,obstacles_2,obstacles_3,obstacles_4,obstacles_5,obstacles_6,obstacles_7,obstacles_8,obstacles_9,obstacles_10,obstacles_11,obstacles_12,obstacles_13,obstacles_14,obstacles_15,obstacles_16,time_looking,ed.training_useful,Gender,Religion,LGBQI,reg_origina,disabilities,level_needed,qualities_needed_1,qualities_needed_2,qualities_needed_3,qualities_needed_4,qualities_needed_5,qualities_needed_6,qualities_needed_7,qualities_needed_8,qualities_needed_9,qualities_needed_10,qualities_needed_11,relevance,competitive,effect,age,gender,region,instanceID,Form_ver,number_of_years
23,,,,,,,1,,,,,,,I_havecompleted_secondary_school_(highschool),NA,Work_for_wage.salary_with_an_employer_(full.time_or_part.time),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Work_privatecompany,paid,,0,Salesworker,NA,NA,11-20_workers,Somewhat_unsatisfied,Yes,To_get_higher_pay,Not_likely,6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,100000,300000,Never,A_great_deal,A_great_deal,Occasionally,Never,Occasionally,Never,Never,A_great_deal,Occasionally,NA,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,More_than_1_year,NA,NA,NA,NA,NA,NA,Completed_vocational_training,0,0,0,0,0,0,1,0,0,0,0,Somewhat_relevant,NA,Neutral,26-29,Male,Region2,,,7
24,,,,,,,1,,,,,,,I_have_completed_my_university_education,NA,Work_for_wage.salary_with_an_employer_(full.time_or_part.time),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Work_privatecompany,paid,,0,Salesworker,NA,NA,Less_than_5_workers,Somewhat_satisfied,Yes,To_get_higher_pay,"Likely,but_not_certain",7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,200000,800000,Never,Occasionally,A_great_deal,A_great_deal,Occasionally,Occasionally,Never,Occasionally,A_great_deal,Never,NA,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,6_months-1year,NA,NA,NA,NA,NA,NA,Completed_university_education,0,0,0,1,0,0,0,0,0,0,0,Somewhat_relevant,NA,Moderate_effect,26-29,Female,Region2,,,7
25,,,,,,,1,,,,,,,I_have_somesecondaryschool_education_but_left_before_graduation,NA,Self.employed_own.account_worker,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Other,paid,,1,Managerial&administrative,NA,NA,Less_than_5_workers,Neither_satisfied_nor_unsatisfied,No,NA,Very_likely,10,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,200000,400000,Never,A_great_deal,A_great_deal,Occasionally,Never,Occasionally,Never,Never,A_great_deal,Never,NA,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,More_than_1_year,NA,NA,NA,NA,NA,NA,Completed_university_education,0,0,0,1,0,0,0,0,0,0,0,Somewhat_relevant,NA,Moderate_effect,26-29,Male,Region2,,,7
26,,,,,,,1,,,,,,,I_have_completed_vocational_school_education,NA,Work_for_wage.salary_with_an_employer_(full.time_or_part.time),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Work_privatecompany,paid,,0,Salesworker,NA,NA,21-50_workers,Somewhat_satisfied,Yes,To_get_higher_pay,"Likely,but_not_certain",3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,200000,600000,Never,Occasionally,A_great_deal,A_great_deal,Occasionally,Never,Occasionally,Never,A_great_deal,Never,NA,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,3-6_months,NA,NA,NA,NA,NA,NA,Completed_university_education,1,0,0,0,0,0,0,0,0,0,0,Relevant,NA,Moderate_effect,23-25,Female,Region4,,,3-4 years
27,,,,,,,1,,,,,,,I_have_completed_my_university_education,NA,Work_for_wage.salary_with_an_employer_(full.time_or_part.time),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Work_privatecompany,paid,,0,Managerial&administrative,NA,NA,51-100_workers,Somewhat_satisfied,Yes,To_have_better_career_prospects,Very_likely,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,400000,2000000,Never,Occasionally,A_great_deal,A_great_deal,Occasionally,Never,Occasionally,Occasionally,A_great_deal,Never,NA,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,3-6_months,NA,NA,NA,NA,NA,NA,Completed_university_education,1,0,0,0,0,0,0,0,0,0,0,Very_relevant,NA,Neutral,26-29,Male,Region1,,,1-2 years
32,,,,,,,1,,,,,,,I_am_currently_studying_at_the_university_level,NA,Self.employed_own.account_worker,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Work_family_business,paid,,1,Salesworker,Businessadministration,NA,Less_than_5_workers,Very_satisfied,Yes,To_be_able_to_better_combine_work_with_family_responsibilities,Very_likely,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1,500000,1000000,Never,Never,A_great_deal,Never,Never,Never,Never,A_great_deal,Never,Occasionally,NA,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,Less_than_a_week,Very_useful,Occasionally,Occasionally,A_great_deal,Occasionally,Occasionally,Completed_university_education,0,1,0,0,0,0,0,0,0,0,0,Relevant,NA,Minor_effect,20-22,Female,Region1,,,3-4 years
33,,,,,,,1,,,,,,,I_have_completed_my_university_education,NA,Work_for_wage.salary_with_an_employer_(full.time_or_part.time),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Internship.apprenticeship_non-profit,paid,,0,Clerical,NA,NA,6-10_workers,Somewhat_satisfied,Yes,To_get_higher_pay,Very_likely,20,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,700000,Never,A_great_deal,Occasionally,A_great_deal,A_great_deal,A_great_deal,A_great_deal,A_great_deal,A_great_deal,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,More_than_1_year,NA,NA,NA,NA,NA,NA,Completed_university_education,1,0,0,0,0,0,0,0,0,0,0,Very_relevant,NA,Neutral,23-25,Female,Region3,,,1-2 years
34,,,,,,,1,,,,,,,I_have_completed_my_university_education,NA,Self.employed_own.account_worker,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Internship.apprenticeship_non-profit,paid,,1,Clerical,NA,NA,6-10_workers,Very_satisfied,Notsure,To_be_able_to_better_combine_work_with_family_responsibilities,Very_likely,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1,2000000,3000000,Never,A_great_deal,A_great_deal,Never,A_great_deal,Never,A_great_deal,Never,A_great_deal,NA,NA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6_months-1year,NA,NA,NA,NA,NA,NA,Completed_university_education,0,0,0,0,0,0,1,0,0,0,0,Relevant,NA,Major_effect,23-25,Female,Region4,,,3-4 years
35,,,,,,,1,,,,,,,I_am_currently_studying_at_the_university_level,NA,Work_for_wage.salary_with_an_employer_(full.time_or_part.time),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Internship.apprenticeship_non-profit,paid,,1,Clerical,NA,NA,21-50_workers,Very_satisfied,No,NA,Very_likely,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,5000000,500000,Never,Never,A_great_deal,A_great_deal,A_great_deal,Never,A_great_deal,Never,A_great_deal,NA,NA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Less_than_a_week,NA,NA,NA,NA,NA,NA,Completed_university_education,0,0,0,0,0,0,1,0,0,0,0,Very_relevant,NA,Neutral,23-25,Female,Region3,,,1-2 years
36,,,,,,,1,,,,,,,I_have_completed_my_university_education,NA,Work_for_wage.salary_with_an_employer_(full.time_or_part.time),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Community_volunteer_work,unpaid,,0,Clerical,NA,NA,11-20_workers,Neither_satisfied_nor_unsatisfied,Yes,To_have_better_career_prospects,"Likely,but_not_certain",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,150000,1500000,Never,A_great_deal,A_great_deal,A_great_deal,A_great_deal,Never,Never,Never,A_great_deal,NA,NA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Less_than_a_week,NA,NA,NA,NA,NA,NA,Completed_university_education,1,0,0,0,0,0,0,0,0,0,0,Very_relevant,NA,Major_effect,23-25,Non-conforming,Region2,,,3-4 years
41,,,,,,,1,,,,,,,I_have_some_university_level_education_but_left_before_graduation,NA,Work_for_wage.salary_with_an_employer_(full.time_or_part.time),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Work_family_business,paid,,0,Clerical,NA,NA,Less_than_5_workers,Very_satisfied,No,NA,Very_likely,10,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1,700000,1000000,Never,A_great_deal,A_great_deal,A_great_deal,Never,Never,Occasionally,Never,A_great_deal,NA,NA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Less_than_a_week,NA,NA,NA,NA,NA,NA,Completed_university_education,0,0,0,0,0,0,0,0,1,0,0,Unsure,NA,Moderate_effect,23-25,Female,Region2,,,1-2 years
42,,,,,,,1,,,,,,,I_have_completed_my_university_education,2013,Self.employed_own.account_worker,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Work_family_business,paid,,1,Salesworker,Workerinsales/retail/shop/restaurants,NA,6-10_workers,Very_satisfied,No,NA,Very_likely,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1,5000000,600000,Never,Occasionally,Occasionally,Never,Never,Never,Never,Never,A_great_deal,NA,NA,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,6_months-1year,Very_useful,A_great_deal,Never,Occasionally,Never,A_great_deal,Completed_secondary_education,0,0,0,1,0,0,0,0,1,1,0,Very_relevant,NA,Minor_effect,26-29,Female,Region2,,,3-4 years
43,,,,,,,1,,,,,,,I_havecompleted_secondary_school_(highschool),2013,Not_currently_working,Available_and_actively_looking_for_work,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,Start_your_own_business,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,2,1,0,NA,1,100000,250000,Never,Never,A_great_deal,Never,Never,Occasionally,Never,A_great_deal,A_great_deal,Occasionally,Yes,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,NA,NA,Occasionally,Never,Occasionally,Never,Never,Completed_vocational_training,0,0,0,1,0,0,0,0,0,0,0,NA,Highly_competitive,No_effect,23-25,Male,Region3,,,1-2 years
44,,,,,,,1,,,,,,,I_am_currently_studying_at_the_university_level,NA,Not_currently_working,Available_and_actively_looking_for_work,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,Work_foranon-profit_organization,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,6,2,0,0,NA,1,300000,500000,Occasionally,Never,A_great_deal,A_great_deal,Occasionally,Occasionally,A_great_deal,Occasionally,Occasionally,NA,Yes,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,Completed_vocational_training,1,1,1,1,1,0,1,1,0,0,0,NA,Slightly_competitive,Major_effect,20-22,Female,Region3,,,3-4 years
45,,,,,,,1,,,,,,,I_havecompleted_secondary_school_(highschool),NA,Not_currently_working,Engaged_in_home_duties_(including_child_care),0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,Start_your_own_business,NA,NA,NA,NA,NA,NA,NA,More_than_1_year,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0,0,0,NA,1,100000,300000,Never,Never,Occasionally,Never,Never,Never,Never,Never,Occasionally,Never,Yes,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,Completed_university_education,1,0,0,0,0,0,0,0,0,0,0,NA,Highly_competitive,Major_effect,20-22,Female,Region3,,,1-2 years
50,,,,,,,1,,,,,,,I_am_currently_studying_at_the_university_level,NA,Not_currently_working,Engaged_in_education,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,Work_foranon-profit_organization,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,0,1,Wages_offered_were_too_low,1,300000,950000,Never,Never,Occasionally,Never,Occasionally,Never,A_great_deal,Never,Occasionally,Never,Yes,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,Completed_university_education,0,0,0,1,0,0,0,0,0,0,0,NA,Highly_competitive,Moderate_effect,26-29,Female,Region4,,,3-4 years
51,,,,,,,1,,,,,,,I_am_currently_studying_at_the_university_level,NA,Not_currently_working,Available_and_actively_looking_for_work,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,Work_for_a_private_company,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,7,0,0,NA,1,250000,800000,Never,Occasionally,A_great_deal,Never,A_great_deal,Never,A_great_deal,Never,Occasionally,Never,Yes,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,Completed_university_education,0,1,0,0,0,0,0,0,0,0,0,NA,Slightly_competitive,Neutral,23-25,Female,Region2,,,1-2 years
52,,,,,,,1,,,,,,,I_have_somesecondaryschool_education_but_left_before_graduation,2014,Self.employed_own.account_worker,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Other,paid,,1,Craftsmen,NA,NA,Less_than_5_workers,Neither_satisfied_nor_unsatisfied,Notsure,To_get_higher_pay,"Likely,but_not_certain",4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Wages_offered_were_too_low,1,200000,500000,Never,A_great_deal,Occasionally,Never,Never,Never,Never,Never,Occasionally,Never,NA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,More_than_1_year,Not_useful,Occasionally,Occasionally,Occasionally,Occasionally,Occasionally,Completed_university_education,0,0,0,0,0,0,1,0,0,0,0,Not_relevant,NA,Major_effect,20-22,Male,Region2,,,3-4 years
53,,,,,,,1,,,,,,,I_am_currently_studying_at_a_vocational_or_technicalschool,NA,Not_currently_working,Engaged_in_education,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,Work_for_the_government/public_sector,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,NA,0,NA,200000,Never,A_great_deal,A_great_deal,Never,Never,Never,Never,Never,Never,A_great_deal,No,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,Computer_and_IT_training,1,0,0,0,0,0,0,0,0,0,0,NA,Slightly_competitive,Major_effect,17-19,Male,Region2,,,1-2 years
54,,,,,,,1,,,,,,,I_am_currently_studying_at_a_vocational_or_technicalschool,NA,Not_currently_working,Available_and_actively_looking_for_work,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,Work_for_the_government/public_sector,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,NA,1,300000,600000,A_great_deal,Occasionally,A_great_deal,Occasionally,A_great_deal,Never,Occasionally,Never,A_great_deal,Occasionally,Yes,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,Completed_university_education,0,1,0,0,0,0,0,0,0,0,0,NA,Highly_competitive,Moderate_effect,20-22,Male,Region2,,,3-4 years
